root,meaning,origin,sample_words
glyph-,carve,Greek,"aglyphous, anaglyph, ditriglyph, ditriglyphic, glyph, glyptic, Glyptodon, glyptograph, hieroglyph, hieroglyphic, monotriglyph, opisthoglyphous, petroglyph, proteroglyphous, solenoglyphous"
gnath-,jaw,Greek,"Agnatha, agnathous, chilognath, compsognathus, endognathion, epignathous, exognathion, gnathic, gnathophyma, hypognathous, hystricognath, mesognathion, mesognathous, prognathism"
gno- (ΓΝΩ),know,Greek,"agnosia, agnostic, agnosticism, anagnorisis, diagnosis, dysanagnosia, gnomic, gnomon, gnomonic, gnosia, gnosis, Gnostic, gnosticism, pathognomonic, physiognomy, prognosis, telegnosis"
"gnosc-, -gnit-",know,Latin,"acquaint, acquaintance, agnition, agnize, cognition, cognitional, cognitive, cognitivity, cognizable, cognizance, cognizant, cognize, cognoscence, cognoscenti, cognoscible, cognovit, connoisseur, ennoble, ennoblement, ignoble, ignorant, ignoscible, incognito, nobiliary, nobilitate, nobilitation, nobility, noble, note, notice, noticeable, notion, notional, notionality, notoriety, notorious, precognition, quaint, reacquaint, recognition, recognize, reconnaissance, reconnoiter, reconnoitre"
gon-,"corner, angle, knee",Greek,"goniometer, gonion, gonioscope, gonitis, gonyaulax, gonycampsis, hexagon, pentagon, polygon, trigon, trigonometry"
"grad-, gred-, gress- (GRAD)","walk, step, go",Latin,"aggradation, aggression, antegrade, anterograde, centigrade, degrade, degree, egress, gradation, grade, gradient, gradine, gradual, graduality, graduate, graduation, gree, ingress, multigrade, nongraduate, postgraduate, progradation, prograde, progress, regress, retrogradation, retrograde, saltigrade, tardigrade, transgress"
gramm-,"letter, writing",Greek,"anagram, anagrammatic, diagram, diagrammatic, engram, epigram, epigrammatic, grammar, grammatic, grammaticist, hologram, lipogram, monogram, pangrammatic, pentagram, program, programmatic, telegram, telegramme, tetragram, tetragrammaton, trigram"
gran-,grain,Latin,"degranulation, engrain, filigree, garner, garnet, grain, granary, grange, granger, granite, granivore, granivorous, granivory, granola, granular, granularity, granulate, granulation, granule, grenade, grogram, grosgrain, ingrain, multigrain, pomegranate"
grand-,grand,Latin,"aggrandisement, grandee, grandeur, grandific, grandiloquent, grandiloquous, grandiose, grandiosity, grandioso, grandity"
graph-,"draw, write",Greek,"allograft, anepigraphic, autograft, autograph, digraph, epigraphic, epigraphy, graft, graph, grapheme, graphemics, graphene, graphic, graphite, graphology, graphomania, graphospasm, heterograph, hexagraph, holography, homograph, isograft, logographic, micrograph, monograph, orthography, paragraph, photograph, photographic, photomicrograph, polygraph, pseudepigraphy, syngraft, telegraph, telegraphy, tetragraph, trigraph"
grat-,"thank, please",Latin,"aggrace, agree, agreeable, agreeance, agreement, congratulant, congratulate, congratulatory, congree, disagree, disagreeable, disagreement, disgrace, grace, graciosity, gracioso, gracious, gratification, gratify, gratis, gratitude, gratuitous, gratuity, gratulant, gratulate, gratulation, gratulatory, grazioso, gree, ingrate, ingratiate, ingratiation, ingratitude, maugre, noncongratulatory, nongratuitous"
grav-,heavy,Latin,"aggravate, aggravation, aggravative, aggravator, aggrieve, aggrievement, degravation, gravamen, grave, gravid, gravida, gravidity, gravitas, gravitate, gravitation, gravitational, gravity, grief, grieve, grievance, grievant, grievous, ingravescence, ingravescent, multigravida, multigravidity, nongravitational, nulligravida, primigravida, reaggravate, supergravity"
greg-,"flock, herd",Latin,"aggregate, aggregation, aggregator, congregant, congregate, congregation, congregational, desegregate, desegregation, disaggregate, disgregate, disgregation, egregious, gregarian, gregarine, gregarious, intercongregational, segregate, segregation"
gryp-,hooked,Greek,"arthrogryposis, Grypoceras, Gryposaurus"
"gubern-, gov-","govern, pilot",Latin,"governor government, govern, gubernatorial,"
gust-,taste,Latin,"disgust, gustatory, gusto, gustoso"
gutt-,drop,Latin,"gout, gutta, guttate, guttifer, guttiform"
guttur-,throat,Latin,"goitre, guttural"
gymn-,nude,Greek,"gymnasium, gymnast, gymnastics, gymnophobia, gymnoplast, gymnosophist, gymnosperm, gymnospore"
"gyn-, gynaec-",woman,Greek,"acrogynous, androgyne, androgynous, androgyny, epigyne, epigynous, epigynum, gymnogynous, gynaeceum, gynaecocracy, gynarchy, gyne, gynecocracy, gynecology, gynecomastia, gynodioecious, gynoecium, gynoid, gynophobia, heterogynous, hypogynous, misogynist, monogyny, oligogyny, philogyny, polygynist, polygyny"
gyr-,ring,Greek,"agyria, autogyro, gyre, gyrectomy, gyrencephalic, gyrodyne, gyroid, gyromagnetic, gyromancy, gyroscope, gyrosphere, gyrostat, gyrostatic gyrotropic, gyrus, microgyrus, micropolygyria, pachygyria, polygyria, polymicrogyria, ulegyria"
gyrin-,tadpole,Greek,Gyrinophilus
